Description(Sequences  with  E-value BETTER than threshold),Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
hypothetical protein DCF24_13990 [Cyanobium sp.],Cyanobium sp.,NA,2164130,45.1,45.1,52%,0.002,9.80,98,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PZU96462.1?report=genbank&log$=prottop&blast_rank=4171&RID=2AYZ3C4E016"",""PZU96462.1"")"
Nif11 family protein [Calothrix sp. PCC 7507],Calothrix sp. PCC 7507,NA,99598,44.7,44.7,68%,0.002,18.75,83,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_015131116.1?report=genbank&log$=prottop&blast_rank=4172&RID=2AYZ3C4E016"",""WP_015131116.1"")"
hypothetical protein BE17_03265 [Sorangium cellulosum],Sorangium cellulosum,NA,56,45.9,45.9,62%,0.002,17.74,140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KYF74922.1?report=genbank&log$=prottop&blast_rank=4173&RID=2AYZ3C4E016"",""KYF74922.1"")"
Nif11-like leader peptide family natural product precursor [Natronoflexus pectinivorans],Natronoflexus pectinivorans,NA,682526,44.7,44.7,67%,0.002,24.24,84,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_132434452.1?report=genbank&log$=prottop&blast_rank=4174&RID=2AYZ3C4E016"",""WP_132434452.1"")"
DUF2624 family protein [Succiniclasticum ruminis],Succiniclasticum ruminis,NA,40841,44.7,44.7,70%,0.002,27.14,81,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_093914164.1?report=genbank&log$=prottop&blast_rank=4175&RID=2AYZ3C4E016"",""WP_093914164.1"")"
Nif11 family protein [Moorea sp. SIO3H5],Moorea sp. SIO3H5,NA,2607834,46.3,46.3,47%,0.002,20.00,178,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NEO73042.1?report=genbank&log$=prottop&blast_rank=4176&RID=2AYZ3C4E016"",""NEO73042.1"")"
MULTISPECIES: Nif11-like leader peptide family RiPP precursor [unclassified Methylomonas],unclassified Methylomonas,NA,2608980,44.4,44.4,48%,0.002,27.08,72,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_033157401.1?report=genbank&log$=prottop&blast_rank=4177&RID=2AYZ3C4E016"",""WP_033157401.1"")"
MULTISPECIES: Nif11 family protein [unclassified Synechococcus],unclassified Synechococcus,NA,2626047,44.4,44.4,48%,0.002,16.67,75,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_011128295.1?report=genbank&log$=prottop&blast_rank=4178&RID=2AYZ3C4E016"",""WP_011128295.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. A15-24],Synechococcus sp. A15-24,NA,1050635,44.4,44.4,50%,0.002,20.41,75,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186496495.1?report=genbank&log$=prottop&blast_rank=4179&RID=2AYZ3C4E016"",""WP_186496495.1"")"
Nif11-like leader peptide family RiPP precursor [Azonexus hydrophilus],Azonexus hydrophilus,NA,418702,44.4,44.4,43%,0.002,27.91,72,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_076093700.1?report=genbank&log$=prottop&blast_rank=4180&RID=2AYZ3C4E016"",""WP_076093700.1"")"
DUF2624 family protein [Succiniclasticum ruminis],Succiniclasticum ruminis,NA,40841,44.7,44.7,72%,0.002,19.72,80,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_093914184.1?report=genbank&log$=prottop&blast_rank=4181&RID=2AYZ3C4E016"",""WP_093914184.1"")"
Nif11-like leader peptide family natural product precursor [Butyrivibrio sp.],Butyrivibrio sp.,NA,28121,45.1,45.1,74%,0.002,17.11,100,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBE5859662.1?report=genbank&log$=prottop&blast_rank=4182&RID=2AYZ3C4E016"",""MBE5859662.1"")"
hypothetical protein [Microcystis aeruginosa],Microcystis aeruginosa,NA,1126,44.7,44.7,98%,0.002,21.21,80,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_151695513.1?report=genbank&log$=prottop&blast_rank=4183&RID=2AYZ3C4E016"",""WP_151695513.1"")"
hypothetical protein D6676_00825 [Cyanobacteria bacterium J003],Cyanobacteria bacterium J003,NA,2420340,45.9,45.9,75%,0.002,23.47,136,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RMH67947.1?report=genbank&log$=prottop&blast_rank=4184&RID=2AYZ3C4E016"",""RMH67947.1"")"
Nif11 family protein [Nostoc sp. CENA67],Nostoc sp. CENA67,NA,2653702,46.7,46.7,86%,0.002,16.84,218,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_198124029.1?report=genbank&log$=prottop&blast_rank=4185&RID=2AYZ3C4E016"",""WP_198124029.1"")"
hypothetical protein ABR96_06260 [cyanobacterium BACL30 MAG-120619-bin27],cyanobacterium BACL30 MAG-120619-bin27,NA,1655601,44.7,44.7,65%,0.002,16.92,90,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KRO93786.1?report=genbank&log$=prottop&blast_rank=4186&RID=2AYZ3C4E016"",""KRO93786.1"")"
Nif11 family protein [Synechococcus sp. CBW1108],Synechococcus sp. CBW1108,NA,1353147,44.7,44.7,65%,0.002,15.38,90,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_197150966.1?report=genbank&log$=prottop&blast_rank=4187&RID=2AYZ3C4E016"",""WP_197150966.1"")"
Nif11-like leader peptide family RiPP precursor [Pseudomonas kirkiae],Pseudomonas kirkiae,NA,2211392,44.4,44.4,48%,0.002,25.00,72,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_131185483.1?report=genbank&log$=prottop&blast_rank=4188&RID=2AYZ3C4E016"",""WP_131185483.1"")"
hypothetical protein [Synechococcus sp. CPC35],Synechococcus sp. CPC35,NA,2024880,44.4,44.4,65%,0.002,14.71,73,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MAB55526.1?report=genbank&log$=prottop&blast_rank=4189&RID=2AYZ3C4E016"",""MAB55526.1"")"
Nif11-like leader peptide family RiPP precursor [Nostoc linckia],Nostoc linckia,NA,92942,45.1,45.1,61%,0.002,27.87,96,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_096539036.1?report=genbank&log$=prottop&blast_rank=4190&RID=2AYZ3C4E016"",""WP_096539036.1"")"
hypothetical protein [Fibrobacter sp.],Fibrobacter sp.,NA,35828,44.7,44.7,70%,0.002,27.54,90,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NLD94841.1?report=genbank&log$=prottop&blast_rank=4191&RID=2AYZ3C4E016"",""NLD94841.1"")"
hypothetical protein AVO33_02980 [delta proteobacterium ML8_F1],delta proteobacterium ML8_F1,NA,1775671,45.5,45.5,69%,0.002,21.43,131,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OPL07849.1?report=genbank&log$=prottop&blast_rank=4192&RID=2AYZ3C4E016"",""OPL07849.1"")"
bacteriocin [Synechococcus sp. ARS1019],Synechococcus sp. ARS1019,NA,2024878,44.7,44.7,65%,0.002,17.19,81,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MAH57638.1?report=genbank&log$=prottop&blast_rank=4193&RID=2AYZ3C4E016"",""MAH57638.1"")"
hypothetical protein [Gammaproteobacteria bacterium],Gammaproteobacteria bacterium,NA,1913989,45.5,45.5,79%,0.002,23.08,129,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBI4694504.1?report=genbank&log$=prottop&blast_rank=4194&RID=2AYZ3C4E016"",""MBI4694504.1"")"
Nif11 family protein [Chlorobium chlorochromatii],Chlorobium chlorochromatii,NA,337090,44.0,44.0,69%,0.002,23.53,62,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_041466565.1?report=genbank&log$=prottop&blast_rank=4195&RID=2AYZ3C4E016"",""WP_041466565.1"")"
Nif11 domain/cupin domain-containing protein [Synechococcus sp. CBW1107],Synechococcus sp. CBW1107,NA,2789857,46.7,46.7,43%,0.002,20.75,194,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_197164365.1?report=genbank&log$=prottop&blast_rank=4196&RID=2AYZ3C4E016"",""WP_197164365.1"")"
nif11-like leader peptide domain protein [Synechococcus sp. PROS-9-1],Synechococcus sp. PROS-9-1,NA,1968775,43.6,43.6,41%,0.002,19.51,47,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QNJ31280.1?report=genbank&log$=prottop&blast_rank=4197&RID=2AYZ3C4E016"",""QNJ31280.1"")"
Nif11 family protein [Synechococcus sp. YX04-3],Synechococcus sp. YX04-3,NA,1979153,44.4,44.4,48%,0.002,16.67,75,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RNC93007.1?report=genbank&log$=prottop&blast_rank=4198&RID=2AYZ3C4E016"",""RNC93007.1"")"
Nif11 family protein [Nostoc sp. NIES-4103],Nostoc sp. NIES-4103,NA,2005458,46.7,46.7,87%,0.002,16.85,218,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_096559080.1?report=genbank&log$=prottop&blast_rank=4199&RID=2AYZ3C4E016"",""WP_096559080.1"")"
hypothetical protein CBD47_06685 [Synechococcus sp. TMED187],Synechococcus sp. TMED187,NA,1986595,44.4,44.4,43%,0.002,21.28,73,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OUW46434.1?report=genbank&log$=prottop&blast_rank=4200&RID=2AYZ3C4E016"",""OUW46434.1"")"
Nif11 family protein [Desulfovibrio carbinolicus],Desulfovibrio carbinolicus,NA,296842,44.0,44.0,54%,0.002,24.53,60,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_129351590.1?report=genbank&log$=prottop&blast_rank=4201&RID=2AYZ3C4E016"",""WP_129351590.1"")"
TPA: hypothetical protein [Cyanobacteria bacterium UBA11372],Cyanobacteria bacterium UBA11372,NA,2055768,45.1,45.1,76%,0.002,18.60,102,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HAX78889.1?report=genbank&log$=prottop&blast_rank=4202&RID=2AYZ3C4E016"",""HAX78889.1"")"
hypothetical protein [Magnetovibrio sp.],Magnetovibrio sp.,NA,2024836,44.7,44.7,77%,0.002,19.05,92,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBB91835.1?report=genbank&log$=prottop&blast_rank=4203&RID=2AYZ3C4E016"",""MBB91835.1"")"
Nif11 family protein [Sinorhizobium medicae],Sinorhizobium medicae,NA,110321,45.5,45.5,51%,0.002,15.69,119,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_128171684.1?report=genbank&log$=prottop&blast_rank=4204&RID=2AYZ3C4E016"",""WP_128171684.1"")"
MULTISPECIES: Nif11 family protein [Bradyrhizobium],Bradyrhizobium,NA,374,45.5,45.5,80%,0.002,20.00,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_011084781.1?report=genbank&log$=prottop&blast_rank=4205&RID=2AYZ3C4E016"",""WP_011084781.1"")"
Nif11 family protein [Synechococcus sp. A15-28],Synechococcus sp. A15-28,NA,1050638,44.0,44.0,54%,0.002,12.96,57,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186587555.1?report=genbank&log$=prottop&blast_rank=4206&RID=2AYZ3C4E016"",""WP_186587555.1"")"
hypothetical protein [Desulfosarcina ovata],Desulfosarcina ovata,NA,83564,44.7,44.7,68%,0.002,19.40,96,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_155309266.1?report=genbank&log$=prottop&blast_rank=4207&RID=2AYZ3C4E016"",""WP_155309266.1"")"
bacteriocin [Synechococcus sp. MED850],Synechococcus sp. MED850,NA,2024883,44.4,44.4,65%,0.002,18.75,81,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MAV10799.1?report=genbank&log$=prottop&blast_rank=4208&RID=2AYZ3C4E016"",""MAV10799.1"")"
Nif11 family protein [Calothrix membranacea],Calothrix membranacea,NA,212352,44.7,44.7,62%,0.002,18.06,84,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_190621886.1?report=genbank&log$=prottop&blast_rank=4209&RID=2AYZ3C4E016"",""WP_190621886.1"")"
DUF2624 family protein [Succiniclasticum ruminis],Succiniclasticum ruminis,NA,40841,44.4,44.4,76%,0.002,22.67,80,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_093730763.1?report=genbank&log$=prottop&blast_rank=4210&RID=2AYZ3C4E016"",""WP_093730763.1"")"
hypothetical protein [Microcystis aeruginosa],Microcystis aeruginosa,NA,1126,44.4,44.4,98%,0.002,21.21,80,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_110580160.1?report=genbank&log$=prottop&blast_rank=4211&RID=2AYZ3C4E016"",""WP_110580160.1"")"
Nif11-like leader peptide family RiPP precursor [Azoarcus communis],Azoarcus communis,NA,41977,44.4,44.4,48%,0.002,29.17,72,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_108949073.1?report=genbank&log$=prottop&blast_rank=4212&RID=2AYZ3C4E016"",""WP_108949073.1"")"
Nif11 family protein [Synechococcus sp. A15-62],Synechococcus sp. A15-62,NA,1050657,44.0,44.0,44%,0.002,20.45,58,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186494751.1?report=genbank&log$=prottop&blast_rank=4213&RID=2AYZ3C4E016"",""WP_186494751.1"")"
Nif11-like leader peptide family RiPP precursor [Methylomonas lenta],Methylomonas lenta,NA,980561,44.4,44.4,48%,0.002,29.17,72,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_066980601.1?report=genbank&log$=prottop&blast_rank=4214&RID=2AYZ3C4E016"",""WP_066980601.1"")"
Nif11 family protein [Candidatus Thiosymbion oneisti],Candidatus Thiosymbion oneisti,NA,589554,44.4,44.4,54%,0.002,25.00,75,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_133511785.1?report=genbank&log$=prottop&blast_rank=4215&RID=2AYZ3C4E016"",""WP_133511785.1"")"
Nif11-like leader peptide family RiPP precursor [Succiniclasticum ruminis],Succiniclasticum ruminis,NA,40841,44.4,44.4,61%,0.002,25.00,77,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_093729480.1?report=genbank&log$=prottop&blast_rank=4216&RID=2AYZ3C4E016"",""WP_093729480.1"")"
Nif11 family protein [Microcystis sp. M_QC_C_20170808_M9Col],Microcystis sp. M_QC_C_20170808_M9Col,NA,2486217,43.6,43.6,47%,0.002,17.65,52,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TRT63264.1?report=genbank&log$=prottop&blast_rank=4217&RID=2AYZ3C4E016"",""TRT63264.1"")"
hypothetical protein AN485_20090 [Anabaena sp. MDT14b],Anabaena sp. MDT14b,NA,1710886,45.1,45.1,64%,0.002,15.87,105,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OBQ32951.1?report=genbank&log$=prottop&blast_rank=4218&RID=2AYZ3C4E016"",""OBQ32951.1"")"
hypothetical protein [Tolypothrix campylonemoides],Tolypothrix campylonemoides,NA,1136105,44.7,44.7,75%,0.002,15.29,88,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_041034246.1?report=genbank&log$=prottop&blast_rank=4219&RID=2AYZ3C4E016"",""WP_041034246.1"")"
hypothetical protein [Paludibacter sp.],Paludibacter sp.,NA,1898105,44.4,44.4,68%,0.002,23.88,79,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MTK54241.1?report=genbank&log$=prottop&blast_rank=4220&RID=2AYZ3C4E016"",""MTK54241.1"")"
Nif11 family protein [Synechococcus sp. UW179A],Synechococcus sp. UW179A,NA,2575510,43.6,43.6,50%,0.002,24.49,48,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_114992934.1?report=genbank&log$=prottop&blast_rank=4221&RID=2AYZ3C4E016"",""WP_114992934.1"")"
Nif11 domain/cupin domain-containing protein [Cyanobium sp. Copco_Reservoir_LC18],Cyanobium sp. Copco_Reservoir_LC18,NA,1328305,46.3,46.3,43%,0.002,11.32,188,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_159819657.1?report=genbank&log$=prottop&blast_rank=4222&RID=2AYZ3C4E016"",""WP_159819657.1"")"
Nif11-like leader peptide family RiPP precursor [Roseomonas deserti],Roseomonas deserti,NA,1817963,44.7,44.7,87%,0.002,19.78,93,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_076959587.1?report=genbank&log$=prottop&blast_rank=4223&RID=2AYZ3C4E016"",""WP_076959587.1"")"
MULTISPECIES: Nif11-like leader peptide family RiPP precursor [Pseudomonas],Pseudomonas,NA,286,44.4,44.4,70%,0.002,18.84,72,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_014596175.1?report=genbank&log$=prottop&blast_rank=4224&RID=2AYZ3C4E016"",""WP_014596175.1"")"
Nif11-like leader peptide family natural product precursor [Nostocaceae cyanobacterium CENA369],Nostocaceae cyanobacterium CENA369,NA,1725256,44.4,44.4,61%,0.002,21.13,74,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBH8573678.1?report=genbank&log$=prottop&blast_rank=4225&RID=2AYZ3C4E016"",""MBH8573678.1"")"
Nif11 family protein [Synechococcus sp. YX04-3],Synechococcus sp. YX04-3,NA,1979153,44.0,44.0,57%,0.002,12.28,57,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RNC90920.1?report=genbank&log$=prottop&blast_rank=4226&RID=2AYZ3C4E016"",""RNC90920.1"")"
hypothetical protein [Niveispirillum irakense],Niveispirillum irakense,NA,34011,45.1,45.1,76%,0.002,24.05,105,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_029011869.1?report=genbank&log$=prottop&blast_rank=4227&RID=2AYZ3C4E016"",""WP_029011869.1"")"
Nif11 family protein [Prochlorococcus sp. MIT 1306],Prochlorococcus sp. MIT 1306,NA,1799667,44.7,44.7,66%,0.002,11.54,104,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_063395491.1?report=genbank&log$=prottop&blast_rank=4228&RID=2AYZ3C4E016"",""WP_063395491.1"")"
Nif11-like leader peptide family natural product precursor [Chlorobiaceae bacterium],Chlorobiaceae bacterium,NA,2067991,44.4,44.4,64%,0.002,36.51,87,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NTV25415.1?report=genbank&log$=prottop&blast_rank=4229&RID=2AYZ3C4E016"",""NTV25415.1"")"
hypothetical protein CBD37_00585 [Cyanobacteria bacterium TMED177],Cyanobacteria bacterium TMED177,NA,1986677,44.0,44.0,54%,0.002,12.96,57,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OUW30706.1?report=genbank&log$=prottop&blast_rank=4230&RID=2AYZ3C4E016"",""OUW30706.1"")"
hypothetical protein [Ensifer adhaerens],Ensifer adhaerens,NA,106592,45.1,45.1,76%,0.002,22.89,105,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_104667001.1?report=genbank&log$=prottop&blast_rank=4231&RID=2AYZ3C4E016"",""WP_104667001.1"")"
NHLP leader peptide family RiPP precursor [Nitrospirae bacterium],Nitrospirae bacterium,NA,2026887,45.1,45.1,85%,0.002,20.41,116,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBF0515514.1?report=genbank&log$=prottop&blast_rank=4232&RID=2AYZ3C4E016"",""MBF0515514.1"")"
hypothetical protein [Thermosynechococcus sp. NK55a],Thermosynechococcus sp. NK55a,NA,1394889,45.5,45.5,75%,0.002,23.47,136,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_024124985.1?report=genbank&log$=prottop&blast_rank=4233&RID=2AYZ3C4E016"",""WP_024124985.1"")"
Nif11-like leader peptide family natural product precursor [Pseudomonadales bacterium],Pseudomonadales bacterium,NA,1891229,44.4,44.4,48%,0.002,20.83,72,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MAA59297.1?report=genbank&log$=prottop&blast_rank=4234&RID=2AYZ3C4E016"",""MAA59297.1"")"
Nif11 family protein [Aphanocapsa feldmannii 288cV],Aphanocapsa feldmannii 288cV,NA,2507555,45.1,45.1,62%,0.002,22.95,108,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TGG83849.1?report=genbank&log$=prottop&blast_rank=4235&RID=2AYZ3C4E016"",""TGG83849.1"")"
hypothetical protein [Selenomonas ruminantium],Selenomonas ruminantium,NA,971,45.1,45.1,69%,0.002,27.54,118,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBE6102812.1?report=genbank&log$=prottop&blast_rank=4236&RID=2AYZ3C4E016"",""MBE6102812.1"")"
MULTISPECIES: Nif11 family protein [unclassified Synechococcus],unclassified Synechococcus,NA,2626047,44.0,44.0,54%,0.002,12.96,57,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_011127411.1?report=genbank&log$=prottop&blast_rank=4237&RID=2AYZ3C4E016"",""WP_011127411.1"")"
Nif11 family protein [Synechococcus sp. A15-24],Synechococcus sp. A15-24,NA,1050635,44.0,44.0,54%,0.002,12.96,57,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186498824.1?report=genbank&log$=prottop&blast_rank=4238&RID=2AYZ3C4E016"",""WP_186498824.1"")"
Nif11 family protein [Actinomadura oligospora],Actinomadura oligospora,NA,111804,46.7,46.7,52%,0.002,23.53,295,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_026413723.1?report=genbank&log$=prottop&blast_rank=4239&RID=2AYZ3C4E016"",""WP_026413723.1"")"
Nif11-like leader peptide family RiPP precursor [Methylicorpusculum oleiharenae],Methylicorpusculum oleiharenae,NA,1338687,44.0,44.0,43%,0.002,25.58,72,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_159655276.1?report=genbank&log$=prottop&blast_rank=4240&RID=2AYZ3C4E016"",""WP_159655276.1"")"
hypothetical protein [Cylindrospermum stagnale],Cylindrospermum stagnale,NA,142864,44.4,44.4,66%,0.002,19.74,81,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_015208396.1?report=genbank&log$=prottop&blast_rank=4241&RID=2AYZ3C4E016"",""WP_015208396.1"")"
Nif11 family protein [Synechococcus sp. A15-60],Synechococcus sp. A15-60,NA,1050655,44.4,44.4,76%,0.002,18.67,75,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186501381.1?report=genbank&log$=prottop&blast_rank=4242&RID=2AYZ3C4E016"",""WP_186501381.1"")"
hypothetical protein [Nostoc sp. RI_552],Nostoc sp. RI_552,NA,2654185,44.7,44.7,53%,0.002,22.22,95,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBI1241607.1?report=genbank&log$=prottop&blast_rank=4243&RID=2AYZ3C4E016"",""MBI1241607.1"")"
hypothetical protein D7V72_09385 [bacterium D16-36],bacterium D16-36,NA,2320117,44.7,44.7,73%,0.002,22.22,93,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RKI28954.1?report=genbank&log$=prottop&blast_rank=4244&RID=2AYZ3C4E016"",""RKI28954.1"")"
MULTISPECIES: Nif11-like leader peptide family RiPP precursor [unclassified Synechococcus],unclassified Synechococcus,NA,2626047,44.4,44.4,75%,0.002,17.57,81,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_071801458.1?report=genbank&log$=prottop&blast_rank=4245&RID=2AYZ3C4E016"",""WP_071801458.1"")"
hypothetical protein [Schwartzia succinivorans],Schwartzia succinivorans,NA,55507,44.4,44.4,62%,0.002,29.51,80,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBE6094174.1?report=genbank&log$=prottop&blast_rank=4246&RID=2AYZ3C4E016"",""MBE6094174.1"")"
Nif11-like leader peptide family natural product precursor [Betaproteobacteria bacterium],Betaproteobacteria bacterium,NA,1891241,44.0,44.0,43%,0.002,23.26,72,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBL8442097.1?report=genbank&log$=prottop&blast_rank=4247&RID=2AYZ3C4E016"",""MBL8442097.1"")"
hypothetical protein [Peptococcaceae bacterium],Peptococcaceae bacterium,NA,2052179,44.4,44.4,52%,0.002,28.85,79,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NLW38891.1?report=genbank&log$=prottop&blast_rank=4248&RID=2AYZ3C4E016"",""NLW38891.1"")"
Nif11-like leader peptide family RiPP precursor [Nostoc linckia],Nostoc linckia,NA,92942,44.7,44.7,61%,0.002,27.87,96,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_096539035.1?report=genbank&log$=prottop&blast_rank=4249&RID=2AYZ3C4E016"",""WP_096539035.1"")"
Nif11 family protein [Microcystis elabens],Microcystis elabens,NA,44824,44.4,44.4,75%,0.002,20.27,75,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_190546125.1?report=genbank&log$=prottop&blast_rank=4250&RID=2AYZ3C4E016"",""WP_190546125.1"")"
DUF2624 family protein [Succiniclasticum ruminis],Succiniclasticum ruminis,NA,40841,44.4,44.4,66%,0.002,24.62,78,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_093914129.1?report=genbank&log$=prottop&blast_rank=4251&RID=2AYZ3C4E016"",""WP_093914129.1"")"
Nif11-like leader peptide family natural product precursor [Sinorhizobium medicae],Sinorhizobium medicae,NA,110321,44.0,44.0,61%,0.002,20.00,64,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PLU17276.1?report=genbank&log$=prottop&blast_rank=4252&RID=2AYZ3C4E016"",""PLU17276.1"")"
